code,ticker,reason
3025,3025.TW,download_failed
3026,3026.TW,download_failed
3027,3027.TW,download_failed
3028,3028.TW,download_failed
3029,3029.TW,download_failed
3030,3030.TW,download_failed
3031,3031.TW,download_failed
3032,3032.TW,download_failed
3033,3033.TW,download_failed
3034,3034.TW,download_failed
3035,3035.TW,download_failed
3036,3036.TW,download_failed
3037,3037.TW,download_failed
3038,3038.TW,download_failed
3040,3040.TW,download_failed
3041,3041.TW,download_failed
3042,3042.TW,download_failed
3043,3043.TW,download_failed
3044,3044.TW,download_failed
3045,3045.TW,download_failed
3046,3046.TW,download_failed
3047,3047.TW,download_failed
3048,3048.TW,download_failed
3049,3049.TW,download_failed
3050,3050.TW,download_failed
3051,3051.TW,download_failed
3052,3052.TW,download_failed
3054,3054.TW,download_failed
3055,3055.TW,download_failed
3056,3056.TW,download_failed
3057,3057.TW,download_failed
3058,3058.TW,download_failed
3059,3059.TW,download_failed
3060,3060.TW,download_failed
3062,3062.TW,download_failed
3090,3090.TW,download_failed
3092,3092.TW,download_failed
3094,3094.TW,download_failed
3130,3130.TW,download_failed
3135,3135.TW,download_failed
3138,3138.TW,download_failed
3149,3149.TW,download_failed
3164,3164.TW,download_failed
3167,3167.TW,download_failed
3168,3168.TW,download_failed
3189,3189.TW,download_failed
3209,3209.TW,download_failed
3229,3229.TW,download_failed
3231,3231.TW,download_failed
3257,3257.TW,download_failed
3266,3266.TW,download_failed
3296,3296.TW,download_failed
3305,3305.TW,download_failed
3308,3308.TW,download_failed
3311,3311.TW,download_failed
3312,3312.TW,download_failed
3321,3321.TW,download_failed
3338,3338.TW,download_failed
3346,3346.TW,download_failed
3356,3356.TW,download_failed
3376,3376.TW,download_failed
3380,3380.TW,download_failed
3406,3406.TW,download_failed
3413,3413.TW,download_failed
3416,3416.TW,download_failed
3419,3419.TW,download_failed
3432,3432.TW,download_failed
3437,3437.TW,download_failed
3443,3443.TW,download_failed
3447,3447.TW,download_failed
3450,3450.TW,download_failed
3481,3481.TW,download_failed
3494,3494.TW,download_failed
3501,3501.TW,download_failed
3504,3504.TW,download_failed
3515,3515.TW,download_failed
3518,3518.TW,download_failed
3528,3528.TW,download_failed
3530,3530.TW,download_failed
3532,3532.TW,download_failed
3533,3533.TW,download_failed
3535,3535.TW,download_failed
3543,3543.TW,download_failed
3545,3545.TW,download_failed
3550,3550.TW,download_failed
3557,3557.TW,download_failed
3563,3563.TW,download_failed
3576,3576.TW,download_failed
3583,3583.TW,download_failed
3588,3588.TW,download_failed
3591,3591.TW,download_failed
3592,3592.TW,download_failed
3593,3593.TW,download_failed
3596,3596.TW,download_failed
3605,3605.TW,download_failed
3607,3607.TW,download_failed
3617,3617.TW,download_failed
3622,3622.TW,download_failed
3645,3645.TW,download_failed
3652,3652.TW,download_failed
3653,3653.TW,download_failed
3661,3661.TW,download_failed
3665,3665.TW,download_failed
3669,3669.TW,download_failed
3673,3673.TW,download_failed
3679,3679.TW,download_failed
3686,3686.TW,download_failed
3694,3694.TW,download_failed
3701,3701.TW,download_failed
3702,3702.TW,download_failed
3703,3703.TW,download_failed
3704,3704.TW,download_failed
3705,3705.TW,download_failed
3706,3706.TW,download_failed
3708,3708.TW,download_failed
3711,3711.TW,download_failed
3712,3712.TW,download_failed
3714,3714.TW,download_failed
3715,3715.TW,download_failed
3716,3716.TW,download_failed
3717,3717.TW,download_failed
4104,4104.TW,download_failed
4106,4106.TW,download_failed
4108,4108.TW,download_failed
4119,4119.TW,download_failed
4133,4133.TW,download_failed
4137,4137.TW,download_failed
4142,4142.TW,download_failed
4148,4148.TW,download_failed
4155,4155.TW,download_failed
4164,4164.TW,download_failed
4169,4169.TW,download_failed
4190,4190.TW,download_failed
4306,4306.TW,download_failed
4414,4414.TW,download_failed
4426,4426.TW,download_failed
4438,4438.TW,download_failed
4439,4439.TW,download_failed
4440,4440.TW,download_failed
4441,4441.TW,download_failed
4526,4526.TW,download_failed
4532,4532.TW,download_failed
4536,4536.TW,download_failed
4540,4540.TW,download_failed
4545,4545.TW,download_failed
4551,4551.TW,download_failed
4552,4552.TW,download_failed
4555,4555.TW,download_failed
4557,4557.TW,download_failed
4560,4560.TW,download_failed
4562,4562.TW,download_failed
4564,4564.TW,download_failed
4566,4566.TW,download_failed
4569,4569.TW,download_failed
4571,4571.TW,download_failed
4572,4572.TW,download_failed
4576,4576.TW,download_failed
4581,4581.TW,download_failed
4583,4583.TW,download_failed
4585,4585.TW,download_failed
4588,4588.TW,download_failed
4720,4720.TW,download_failed
4722,4722.TW,download_failed
4736,4736.TW,download_failed
4737,4737.TW,download_failed
4739,4739.TW,download_failed
4746,4746.TW,download_failed
4755,4755.TW,download_failed
4763,4763.TW,download_failed
4764,4764.TW,download_failed
4766,4766.TW,download_failed
4770,4770.TW,download_failed
4771,4771.TW,download_failed
4807,4807.TW,download_failed
4904,4904.TW,download_failed
4906,4906.TW,download_failed
4912,4912.TW,download_failed
4915,4915.TW,download_failed
4916,4916.TW,download_failed
4919,4919.TW,download_failed
4927,4927.TW,download_failed
4930,4930.TW,download_failed
4934,4934.TW,download_failed
4935,4935.TW,download_failed
4938,4938.TW,download_failed
4942,4942.TW,download_failed
4943,4943.TW,download_failed
4949,4949.TW,download_failed
4952,4952.TW,download_failed
4956,4956.TW,download_failed
4958,4958.TW,download_failed
4960,4960.TW,download_failed
4961,4961.TW,download_failed
4967,4967.TW,download_failed
4968,4968.TW,download_failed
4976,4976.TW,download_failed
4977,4977.TW,download_failed
4989,4989.TW,download_failed
4994,4994.TW,download_failed
4999,4999.TW,download_failed
5007,5007.TW,download_failed
5203,5203.TW,download_failed
5215,5215.TW,download_failed
5222,5222.TW,download_failed
5225,5225.TW,download_failed
5234,5234.TW,download_failed
5243,5243.TW,download_failed
5244,5244.TW,download_failed
5258,5258.TW,download_failed
5269,5269.TW,download_failed
5283,5283.TW,download_failed
5284,5284.TW,download_failed
5285,5285.TW,download_failed
5288,5288.TW,download_failed
5292,5292.TW,download_failed
5306,5306.TW,download_failed
5388,5388.TW,download_failed
5434,5434.TW,download_failed
5469,5469.TW,download_failed
5471,5471.TW,download_failed
5484,5484.TW,download_failed
5515,5515.TW,download_failed
5519,5519.TW,download_failed
5521,5521.TW,download_failed
5522,5522.TW,download_failed
5525,5525.TW,download_failed
5531,5531.TW,download_failed
5533,5533.TW,download_failed
5534,5534.TW,download_failed
5538,5538.TW,download_failed
5546,5546.TW,download_failed
5607,5607.TW,download_failed
5608,5608.TW,download_failed
5706,5706.TW,download_failed
5871,5871.TW,download_failed
5876,5876.TW,download_failed
5880,5880.TW,download_failed
5906,5906.TW,download_failed
5907,5907.TW,download_failed
6005,6005.TW,download_failed
6024,6024.TW,download_failed
6108,6108.TW,download_failed
6112,6112.TW,download_failed
6115,6115.TW,download_failed
6116,6116.TW,download_failed
6117,6117.TW,download_failed
6120,6120.TW,download_failed
6128,6128.TW,download_failed
6133,6133.TW,download_failed
6136,6136.TW,download_failed
6139,6139.TW,download_failed
6141,6141.TW,download_failed
6142,6142.TW,download_failed
6152,6152.TW,download_failed
6153,6153.TW,download_failed
6155,6155.TW,download_failed
6164,6164.TW,download_failed
6165,6165.TW,download_failed
6166,6166.TW,download_failed
6168,6168.TW,download_failed
6176,6176.TW,download_failed
6177,6177.TW,download_failed
6183,6183.TW,download_failed
6184,6184.TW,download_failed
6189,6189.TW,download_failed
6191,6191.TW,download_failed
6192,6192.TW,download_failed
6196,6196.TW,download_failed
6197,6197.TW,download_failed
6201,6201.TW,download_failed
6202,6202.TW,download_failed
6205,6205.TW,download_failed
6206,6206.TW,download_failed
6209,6209.TW,download_failed
6213,6213.TW,download_failed
6214,6214.TW,download_failed
6215,6215.TW,download_failed
6216,6216.TW,download_failed
6224,6224.TW,download_failed
6225,6225.TW,download_failed
6226,6226.TW,download_failed
6230,6230.TW,download_failed
6235,6235.TW,download_failed
6239,6239.TW,download_failed
6243,6243.TW,download_failed
6257,6257.TW,download_failed
6269,6269.TW,download_failed
6271,6271.TW,download_failed
6272,6272.TW,download_failed
6277,6277.TW,download_failed
6278,6278.TW,download_failed
6281,6281.TW,download_failed
6282,6282.TW,download_failed
6283,6283.TW,download_failed
6285,6285.TW,download_failed
6405,6405.TW,download_failed
6409,6409.TW,download_failed
6412,6412.TW,download_failed
6414,6414.TW,download_failed
6415,6415.TW,download_failed
6416,6416.TW,download_failed
6426,6426.TW,download_failed
6431,6431.TW,download_failed
6438,6438.TW,download_failed
6442,6442.TW,download_failed
6443,6443.TW,download_failed
6446,6446.TW,download_failed
6449,6449.TW,download_failed
6451,6451.TW,download_failed
6456,6456.TW,download_failed
6464,6464.TW,download_failed
6472,6472.TW,download_failed
6477,6477.TW,download_failed
6491,6491.TW,download_failed
6504,6504.TW,download_failed
6505,6505.TW,download_failed
6515,6515.TW,download_failed
6525,6525.TW,download_failed
6526,6526.TW,download_failed
6531,6531.TW,download_failed
6533,6533.TW,download_failed
6541,6541.TW,download_failed
6550,6550.TW,download_failed
6552,6552.TW,download_failed
6558,6558.TW,download_failed
6573,6573.TW,download_failed
6579,6579.TW,download_failed
6581,6581.TW,download_failed
6582,6582.TW,download_failed
6585,6585.TW,download_failed
6589,6589.TW,download_failed
6591,6591.TW,download_failed
6592,6592.TW,download_failed
6598,6598.TW,download_failed
6605,6605.TW,download_failed
6606,6606.TW,download_failed
6614,6614.TW,download_failed
6625,6625.TW,download_failed
6641,6641.TW,download_failed
6655,6655.TW,download_failed
6657,6657.TW,download_failed
6658,6658.TW,download_failed
6666,6666.TW,download_failed
6668,6668.TW,download_failed
6669,6669.TW,download_failed
6670,6670.TW,download_failed
6671,6671.TW,download_failed
6672,6672.TW,download_failed
6674,6674.TW,download_failed
6689,6689.TW,download_failed
6691,6691.TW,download_failed
6695,6695.TW,download_failed
6698,6698.TW,download_failed
6706,6706.TW,download_failed
6715,6715.TW,download_failed
