code,name,market,industry,ticker
2910,統領,TWSE,貿易百貨業,2910.TW
2911,麗嬰房,TWSE,貿易百貨業,2911.TW
2912,統一超,TWSE,貿易百貨業,2912.TW
2913,農林,TWSE,貿易百貨業,2913.TW
2915,潤泰全,TWSE,貿易百貨業,2915.TW
2923,鼎固-KY,TWSE,建材營造業,2923.TW
2929,淘帝-KY,TWSE,貿易百貨業,2929.TW
2939,永邑-KY,TWSE,貿易百貨業,2939.TW
2945,三商家購,TWSE,貿易百貨業,2945.TW
3002,歐格,TWSE,Computer,3002.TW
3003,健和興,TWSE,Electronics,3003.TW
3004,豐達科,TWSE,Other,3004.TW
3005,神基,TWSE,Computer,3005.TW
3006,晶豪科,TWSE,Semiconductor,3006.TW
3008,大立光,TWSE,Electronics,3008.TW
3010,華立,TWSE,Electronics,3010.TW
3011,今皓,TWSE,Electronics,3011.TW
3013,晟銘電,TWSE,Computer,3013.TW
3014,聯陽,TWSE,Semiconductor,3014.TW
3015,全漢,TWSE,Electronics,3015.TW
3016,嘉晶,TWSE,Semiconductor,3016.TW
3017,奇鋐,TWSE,Computer,3017.TW
3018,隆銘綠能,TWSE,Electronics,3018.TW
3019,亞光,TWSE,Electronics,3019.TW
3021,鴻名,TWSE,Electronics,3021.TW
3022,威強電,TWSE,Computer,3022.TW
3023,信邦,TWSE,Electronics,3023.TW
3024,憶聲,TWSE,Electronics,3024.TW
3025,星通,TWSE,Communication,3025.TW
3026,禾伸堂,TWSE,Electronics,3026.TW
3027,盛達,TWSE,Communication,3027.TW
3028,增你強,TWSE,Electronics,3028.TW
3029,零壹,TWSE,資訊服務業,3029.TW
3030,德律,TWSE,Electronics,3030.TW
3031,佰鴻,TWSE,Electronics,3031.TW
3032,偉訓,TWSE,Electronics,3032.TW
3033,威健,TWSE,Electronics,3033.TW
3034,聯詠,TWSE,Semiconductor,3034.TW
3035,智原,TWSE,Semiconductor,3035.TW
3036,文曄,TWSE,Electronics,3036.TW
3037,欣興,TWSE,Electronics,3037.TW
3038,全台,TWSE,Electronics,3038.TW
3040,遠見,TWSE,其他業,3040.TW
3041,揚智,TWSE,Semiconductor,3041.TW
3042,晶技,TWSE,Electronics,3042.TW
3043,科風,TWSE,Electronics,3043.TW
3044,健鼎,TWSE,Electronics,3044.TW
3045,台灣大,TWSE,Communication,3045.TW
3046,建��,TWSE,Computer,3046.TW
3047,訊舟,TWSE,Communication,3047.TW
3048,益登,TWSE,Electronics,3048.TW
3049,精金,TWSE,Electronics,3049.TW
3050,鈺德,TWSE,Electronics,3050.TW
3051,力特,TWSE,Electronics,3051.TW
